name,alias,addr,lat,lon,tel,link,menu,flag,media,url,type
"Gourmet Square",Minrak Branch,"7th Floor, 805-1 Minrak-dong, Uijeongbu-si, Gyeonggi-do, 701 Room",37.7452404,127.0945298,0507-1399-9081,"Premium Buffet","[Weekdays] 25,900 KRW [Average] 29,900 KRW [Weekend] 33,900 KRW","",,,restaurant
"The Sushi",Uijeongbu Branch,"2nd Floor, 179-10 Uijeongbu-dong, Uijeongbu-si, Gyeonggi-do",37.7399113,127.0491763,0507-1368-7066,"Conveyor Belt Sushi (Sushi, Rolls, Salad)","[Weekdays Lunch] 24,900 KRW [Dinner and Weekends] 27,900 KRW","",,,restaurant
"Real Soy Sauce Crab Unlimited Refill Uijeongbu Direct Store",,"1st Floor, 560-2 Uijeongbu-dong, Uijeongbu-si, Gyeonggi-do",37.7346384,127.0424109,,"Soy Sauce Crab + Spicy Crab + Shrimp Crab","27,900 KRW","",,,restaurant
"Bum Yang Skewers Unlimited Refill",,"1st Floor, 542-9 Uijeongbu-dong, Uijeongbu-si, Gyeonggi-do, Bum Yang Kkochi Unlimited Refill",37.7329962,127.0367697,0507-1381-2732,"Lamb Skewers, Shabu-Shabu","24,900 KRW","[Closed Sundays, From 3:30 PM]","",restaurant
"Sushi Min Unlimited Refill Conveyor Belt Sushi",,"206 Room, 963-10 Okjeong-dong, Yangju-si, Gyeonggi-do, Han Gil Plaza",37.8198459,127.0921428,,"Conveyor Belt Sushi","[Weekdays Lunch] 19,900 KRW [Dinner and Weekends] 22,900 KRW","",,,restaurant
"Shin Seoseo Galbi 2",,"184-6 Uijeongbu-dong, Uijeongbu-si, Gyeonggi-do",37.7424078,127.0501649,0507-1348-6692,"Grilled Seasoned Pork Belly, Samgyeopsal, Beef Ribs, Smoked Duck, Rice, Drinks","16,500 KRW","",,,restaurant
"Shilla Gongbang Malatang Hot Pot",Geumo Branch,"2nd Floor, 473-4 Geumo-dong, Uijeongbu-si, Gyeonggi-do, Pretium Plaza 2, Rooms 205 and 206",37.7513439,127.0690946,,"Hot Pot (Meat, Seafood, Vegetables)","19,900 KRW","",,,restaurant
"Ungteori Unlimited Pork",Uijeongbu Central Branch,"2nd Floor, 181-4 Uijeongbu-dong, Uijeongbu-si, Gyeonggi-do",37.7411675,127.0490771,031-848-1155,"Daeppa Samgyeopsal, Iberico Daeppa, Flower Samgyeopsal, Beef Cuts, Rice","16,900~19,900 KRW","",,,restaurant
"Yoon Restaurant",,"370-8 Uijeongbu-dong, Uijeongbu-si, Gyeonggi-do",37.7322486,127.0485727,,"Home-style Korean Set Meal","7,000 KRW","",,,restaurant
"Pinewood Garden Uijeongbu Shingok Branch",,"2nd Floor, 673-4 Shingok-dong, Uijeongbu-si, Gyeonggi-do",37.7432701,127.0577667,,"Beef Shabu-Shabu","[Weekdays Lunch] 16,900 KRW [Dinner and Weekends] 18,900 KRW","",,,restaurant
"Unlimited Meat Gumpteo",,"190-21 Uijeongbu-dong, Uijeongbu-si, Gyeonggi-do",37.7423475,127.0483813,031-848-1230,"Beef, Pork Belly, Pork Neck, Chicken, Galbi, Bacon","16,900 KRW","",,,restaurant
"Unlimited Mushroom Nara",Nokyang Branch,"412-9 Nokyang-dong, Uijeongbu-si, Gyeonggi-do",37.760114,127.0413928,031-872-4988,"Shabu-Shabu (Meat, Mushrooms, Vegetables)","20,000 KRW","",,,restaurant
"Qooqoo, Minrak Branch",,"9th Floor, 805-3 Minrak-dong, Uijeongbu-si, Gyeonggi-do","37.744886","127.0952396","031-852-6279","Freshly Made Sushi, Rolls, Salads Buffet","[Weekdays] 24,900 KRW [Average] 29,900 KRW [Weekend] 32,900 KRW","",,,restaurant
"Vietnamese Spring Roll Kim Sangsa, Uijeongbu Branch",,"497 Uijeongbu-dong, Uijeongbu-si, Gyeonggi-do",37.7371192,127.043912,031-855-9249,"Healthy Vietnamese Spring Rolls (Beef, Pork Belly, Vegetables, Salad Bar)","[Weekdays Lunch] 20,000 KRW [Dinner and Weekends] 23,000 KRW","",ioPeMJAVRLo:0,,restaurant
